               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.038665,            0.012468,           0.0073339,             0.92154,             0.82575,             0.87922,             0.58597,            0.034017,           0.0057254,           0.0048515,            0.008878,            0.008878,            0.008878
                  70,            0.036676,            0.012323,           0.0072262,             0.93872,             0.83766,             0.84509,             0.53036,            0.039486,           0.0056915,           0.0068558,           0.0088615,           0.0088615,           0.0088615
                  71,            0.037208,            0.011883,           0.0069102,             0.95821,             0.79221,             0.88647,              0.5555,             0.03393,           0.0056624,           0.0072922,            0.008845,            0.008845,            0.008845
                  72,            0.037143,            0.013282,           0.0082031,             0.92103,             0.87211,             0.88631,              0.5509,            0.036624,           0.0055227,           0.0054564,           0.0088285,           0.0088285,           0.0088285
                  73,             0.03745,            0.012479,           0.0073256,             0.99107,             0.85671,             0.88444,             0.61442,            0.033121,           0.0053992,           0.0059851,            0.008812,            0.008812,            0.008812
                  74,            0.037076,            0.012304,           0.0068872,             0.99103,             0.85918,             0.88737,             0.55028,            0.034529,           0.0053496,           0.0054234,           0.0087955,           0.0087955,           0.0087955
                  75,            0.039759,            0.012752,           0.0073157,             0.99069,             0.85302,             0.90006,             0.57261,            0.036124,           0.0054832,           0.0057957,            0.008779,            0.008779,            0.008779
                  76,            0.038774,            0.012495,           0.0071692,             0.97385,             0.83766,             0.88305,             0.62506,            0.030274,           0.0054798,           0.0054129,           0.0087625,           0.0087625,           0.0087625
                  77,            0.034529,            0.011719,           0.0077393,             0.97505,             0.86686,             0.88701,             0.58154,            0.032844,           0.0055742,           0.0047375,            0.008746,            0.008746,            0.008746
                  78,            0.034114,            0.011715,           0.0067991,              0.9368,             0.87338,             0.88911,              0.5542,            0.033824,           0.0055332,           0.0039953,           0.0087295,           0.0087295,           0.0087295
                  79,            0.033228,            0.012376,           0.0055419,             0.95393,             0.83766,             0.88962,             0.56552,            0.035042,           0.0053029,           0.0043566,            0.008713,            0.008713,            0.008713
                  80,            0.035448,            0.012138,           0.0061748,             0.93452,             0.83766,             0.85623,             0.59812,            0.030407,           0.0051923,           0.0038977,           0.0086965,           0.0086965,           0.0086965
